Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-11-18T20:47:12.195Z","Included","composer-1","No","12047","0","218624","1557","232228","0.07"
"2025-11-18T20:46:27.115Z","Included","composer-1","No","4519","0","417536","3082","425137","0.12"
"2025-11-18T20:45:34.350Z","Included","composer-1","No","8624","0","254496","3398","266518","0.09"
"2025-11-18T20:44:42.163Z","Included","composer-1","No","9071","0","181984","2971","194026","0.07"
"2025-11-18T20:44:05.349Z","Included","composer-1","No","11347","0","136224","3056","150627","0.06"
"2025-11-18T20:43:49.597Z","Included","composer-1","No","11868","0","31872","648","44388","0.02"
"2025-11-18T20:29:41.288Z","Included","composer-1","No","99401","0","9792","405","109598","0.10"
"2025-11-18T20:28:10.624Z","Included","composer-1","No","72679","0","44064","542","117285","0.09"
"2025-11-18T20:26:38.573Z","Included","gpt-5.1-codex","No","0","4882","171904","480","177266","0.03"
"2025-11-18T20:24:20.455Z","Included","gpt-5.1-codex","No","0","39380","3840","673","43893","0.06"
"2025-11-18T20:23:32.937Z","Included","gpt-5.1-codex","No","0","258","40064","75","40397","0.01"
"2025-11-18T20:22:31.795Z","Included","composer-1","No","12928","0","177728","898","191554","0.06"
"2025-11-18T20:21:11.177Z","Included","composer-1","No","24472","0","162592","705","187769","0.07"
"2025-11-18T20:20:27.236Z","Included","composer-1","No","103507","0","9632","499","113638","0.11"
"2025-11-18T20:20:21.178Z","Included","gpt-5.1-codex","No","0","36357","3840","97","40294","0.05"
"2025-11-18T20:20:09.105Z","Included","composer-1","No","82924","0","7104","545","90573","0.09"
"2025-11-18T20:17:25.952Z","Included","claude-4.5-sonnet-thinking","No","33352","251","0","477","34080","0.13"
"2025-11-18T20:15:50.411Z","Included","composer-1","No","74220","0","9760","499","84479","0.08"
"2025-11-18T20:15:36.889Z","Included","composer-1","No","20592","0","454752","1013","476357","0.14"
"2025-11-18T20:14:03.064Z","Included","composer-1","No","83803","0","6528","396","90727","0.09"
"2025-11-18T19:20:57.628Z","Included","gemini-3-pro-preview","No","0","9258","152484","200","161942","0.05"
"2025-11-18T19:17:28.872Z","Included","gemini-3-pro-preview","No","0","9666","243958","368","253992","0.07"
"2025-11-18T19:16:43.847Z","Included","gemini-3-pro-preview","No","0","5146","140666","378","146190","0.04"
"2025-11-18T19:15:35.906Z","Included","gemini-3-pro-preview","No","0","12169","254997","707","267873","0.08"
"2025-11-18T19:14:45.410Z","Included","gemini-3-pro-preview","No","0","23731","381333","864","405928","0.13"
"2025-11-18T19:13:19.790Z","Included","gemini-3-pro-preview","No","0","10899","160773","460","172132","0.06"
"2025-11-18T19:12:20.258Z","Included","gemini-3-pro-preview","No","0","23066","82065","512","105643","0.07"
"2025-11-18T19:12:15.864Z","Errored, Not Charged","gemini-3-pro-preview","No","0","0","0","0","0","0.00"
"2025-11-18T19:06:04.607Z","Included","gemini-3-pro-preview","No","0","14983","56349","519","71851","0.05"
"2025-11-18T18:57:40.913Z","Included","gemini-3-pro-preview","No","0","24234","99566","657","124457","0.08"
"2025-11-18T16:47:48.995Z","Included","composer-1","No","18619","0","180256","2626","201501","0.07"
"2025-11-18T16:46:03.559Z","Included","composer-1","No","12787","0","230080","2977","245844","0.08"
"2025-11-18T16:45:37.476Z","Included","composer-1","No","4637","0","6368","319","11324","0.01"
"2025-11-18T16:38:05.526Z","Included","composer-1","No","44421","0","204320","900","249641","0.10"
"2025-11-18T16:34:03.969Z","Included","claude-4.5-sonnet-thinking","No","12814","717","740844","3318","757693","0.32"
"2025-11-18T16:31:54.897Z","Included","claude-4.5-sonnet-thinking","No","79095","68","379039","1919","460121","0.44"
"2025-11-18T16:29:19.052Z","Included","composer-1","No","22349","0","96256","1205","119810","0.05"
"2025-11-18T16:28:22.386Z","Included","composer-1","No","11759","0","73824","1299","86882","0.04"
"2025-11-18T16:27:41.745Z","Included","composer-1","No","15138","0","55168","1067","71373","0.03"
"2025-11-18T16:14:42.168Z","Included","claude-4.5-sonnet-thinking","No","12287","8223","127417","804","148731","0.12"
"2025-11-18T16:13:03.571Z","Included","claude-4.5-sonnet-thinking","No","8151","135","183961","1961","194208","0.12"
"2025-11-18T16:12:23.199Z","Included","claude-4.5-sonnet-thinking","No","4089","474","172377","643","177583","0.08"
"2025-11-18T16:11:28.467Z","Included","claude-4.5-sonnet-thinking","No","4227","122","52481","1033","57863","0.05"
"2025-11-18T16:10:27.953Z","Included","claude-4.5-sonnet-thinking","No","4884","618","159676","1528","166706","0.09"
"2025-11-18T16:10:15.299Z","Aborted, Not Charged","claude-4.5-sonnet-thinking","No","0","0","0","0","0","0.00"
"2025-11-18T16:08:39.573Z","Included","claude-4.5-sonnet-thinking","No","2840","148","153639","1336","157963","0.08"
"2025-11-18T16:08:10.652Z","Included","claude-4.5-sonnet-thinking","No","1951","754","48155","239","51099","0.03"
"2025-11-18T16:04:02.310Z","Included","claude-4.5-sonnet-thinking","No","2660","128","145163","1377","149328","0.07"
"2025-11-18T16:03:38.890Z","Included","claude-4.5-sonnet-thinking","No","1048","127","46641","719","48535","0.03"
"2025-11-18T16:03:14.313Z","Included","claude-4.5-sonnet-thinking","No","0","0","0","0","0","0.00"
"2025-11-18T16:00:02.199Z","Included","claude-4.5-sonnet-thinking","No","5089","490","176974","1811","184364","0.10"
"2025-11-18T15:59:43.004Z","Included","claude-4.5-sonnet-thinking","No","4754","487","80928","824","86993","0.06"
"2025-11-18T15:58:59.860Z","Included","claude-4.5-sonnet-thinking","No","29755","512","132300","1793","164360","0.18"
"2025-11-18T15:57:15.204Z","Included","claude-4.5-sonnet-thinking","No","20317","132","276297","4215","300961","0.22"
